plant name,growth,soil,sunlight,watering,fertilization type,image_url
aloe vera,slow,sandy,indirect sunlight,water weekly,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Aloe_vera_flower_inset.png/500px-Aloe_vera_flower_inset.png
basil,fast,well-drained,full sunlight,keep soil evenly moist,organic,https://bs.plantnet.org/image/o/eaf722de31333a8724b4bb72c8d51959530fae56
snake plant,slow,well-drained,indirect sunlight,water when soil is dry,no,
lavender,moderate,sandy,full sunlight,let soil dry between watering,no,https://bs.plantnet.org/image/o/010ffc8860641c73888c8664743f1527d284f258
cactus,slow,sandy,full sunlight,let soil dry between watering,low-nitrogen,https://bs.plantnet.org/image/o/47d4f01e2bc2c2db602fce38f864a40309f5f293
rosemary,moderate,well-drained,full sunlight,let soil dry between watering,no,https://bs.plantnet.org/image/o/45c47e31c6a0c5378581f0bc89c0b44405868dd1
mint,fast,well-drained,partial sunlight,keep soil consistently moist,balanced,
thyme,moderate,sandy,full sunlight,let soil dry between watering,organic,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Thyme-Bundle.jpg/500px-Thyme-Bundle.jpg
peace lily,moderate,well-drained,indirect sunlight,water when soil feels dry,balanced,https://bs.plantnet.org/image/o/75a1c264295a0f3ec1f613f397c249ecc4840d38
spider plant,moderate,loamy,indirect sunlight,keep soil slightly moist,balanced,https://upload.wikimedia.org/wikipedia/commons/3/3a/Spiderplant1.jpg
parsley,moderate,well-drained,partial sunlight,keep soil consistently moist,organic,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Petroselinum.jpg/500px-Petroselinum.jpg
fern (boston),moderate,well-drained,indirect sunlight,water when topsoil is dry,organic,
bamboo palm,slow,well-drained,indirect sunlight,water weekly,balanced,https://bs.plantnet.org/image/o/c1727abff447db3c5db9857f343f61272880c0a1
money plant,moderate,well-drained,indirect sunlight,water when topsoil is dry,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Epipremnum_aureum_31082012.jpg/500px-Epipremnum_aureum_31082012.jpg
jade plant,slow,sandy,indirect sunlight,water when soil is dry,low-nitrogen,
orchids,moderate,well-drained,indirect sunlight,water weekly,balanced,
cilantro,fast,well-drained,full sunlight,keep soil moist,balanced,
dill,moderate,sandy,full sunlight,keep soil evenly moist,organic,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Illustration_Anethum_graveolens_clean.jpg/500px-Illustration_Anethum_graveolens_clean.jpg
chives,fast,well-drained,full sunlight,keep soil moist,balanced,https://bs.plantnet.org/image/o/5e033417dbfff7e86535bd7f431bb4162804a0c9
oregano,moderate,sandy,full sunlight,water when topsoil is dry,organic,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Origanum_vulgare_-_harilik_pune.jpg/500px-Origanum_vulgare_-_harilik_pune.jpg
pothos,fast,well-drained,indirect sunlight,water when soil is dry,balanced,
rubber plant,moderate,well-drained,indirect sunlight,water when soil feels dry,balanced,
bougainvillea,fast,well-drained,full sunlight,water when soil is dry,low-nitrogen,https://bs.plantnet.org/image/o/1fa4dec70b727efbb1ea39a10ba07d5191fd299c
fiddle leaf fig,slow,well-drained,indirect sunlight,water when topsoil is dry,balanced,
sage,moderate,well-drained,full sunlight,let soil dry between watering,organic,https://bs.plantnet.org/image/o/ba565945528a0f63276ac76495e7e1cd3d47e127
cosmos,fast,sandy,full sunlight,water when soil feels dry,organic,https://bs.plantnet.org/image/o/fc0185dbcca0268d312c135072bd92c22546f18c
geranium,moderate,well-drained,full sunlight,water when soil is dry,balanced,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Geranium_February_2008-1.jpg/500px-Geranium_February_2008-1.jpg
marigold,fast,well-drained,full sunlight,water when soil is dry,balanced,
