plant name,growth,soil,sunlight,watering,fertilization type
aloe vera,slow,sandy,indirect sunlight,water weekly,balanced
basil,fast,well-drained,full sunlight,keep soil evenly moist,organic
snake plant,slow,well-drained,indirect sunlight,water when soil is dry,no
lavender,moderate,sandy,full sunlight,let soil dry between watering,no
cactus,slow,sandy,full sunlight,let soil dry between watering,low-nitrogen
rosemary,moderate,well-drained,full sunlight,let soil dry between watering,no
mint,fast,well-drained,partial sunlight,keep soil consistently moist,balanced
thyme,moderate,sandy,full sunlight,let soil dry between watering,organic
peace lily,moderate,well-drained,indirect sunlight,water when soil feels dry,balanced
spider plant,moderate,loamy,indirect sunlight,keep soil slightly moist,balanced
parsley,moderate,well-drained,partial sunlight,keep soil consistently moist,organic
fern (boston),moderate,well-drained,indirect sunlight,water when topsoil is dry,organic
bamboo palm,slow,well-drained,indirect sunlight,water weekly,balanced
money plant,moderate,well-drained,indirect sunlight,water when topsoil is dry,balanced
jade plant,slow,sandy,indirect sunlight,water when soil is dry,low-nitrogen
orchids,moderate,well-drained,indirect sunlight,water weekly,balanced
cilantro,fast,well-drained,full sunlight,keep soil moist,balanced
dill,moderate,sandy,full sunlight,keep soil evenly moist,organic
chives,fast,well-drained,full sunlight,keep soil moist,balanced
oregano,moderate,sandy,full sunlight,water when topsoil is dry,organic
pothos,fast,well-drained,indirect sunlight,water when soil is dry,balanced
rubber plant,moderate,well-drained,indirect sunlight,water when soil feels dry,balanced
bougainvillea,fast,well-drained,full sunlight,water when soil is dry,low-nitrogen
fiddle leaf fig,slow,well-drained,indirect sunlight,water when topsoil is dry,balanced
sage,moderate,well-drained,full sunlight,let soil dry between watering,organic
cosmos,fast,sandy,full sunlight,water when soil feels dry,organic
geranium,moderate,well-drained,full sunlight,water when soil is dry,balanced
marigold,fast,well-drained,full sunlight,water when soil is dry,balanced
zinnia,fast,well-drained,full sunlight,water weekly,balanced
hibiscus,moderate,well-drained,full sunlight,water when topsoil is dry,balanced
begonia,moderate,well-drained,indirect sunlight,keep soil moist,organic
chrysanthemum,fast,well-drained,full sunlight,water when soil feels dry,balanced
daffodil,slow,well-drained,full sunlight,water weekly,balanced
sunflower,fast,well-drained,full sunlight,water weekly,balanced
